,date,mean_sentiment_score
186,2021-06-03,0.634698876
187,2021-06-04,0.500141141
188,2021-06-07,0.666571497
189,2021-06-08,0.338876332
190,2021-06-09,0.396559932
191,2021-06-10,0.362772011
192,2021-06-11,0.439949816
193,2021-06-14,0.552579287
194,2021-06-15,0.65324008
195,2021-06-16,0.497624824
196,2021-06-17,0.316380287
197,2021-06-18,0.254285861
198,2021-06-20,1.37e-07
199,2021-06-21,0.272564273
200,2021-06-22,0.3338767
201,2021-06-23,0.60682513
202,2021-06-24,0.255369106
203,2021-06-25,0.382481519
204,2021-06-28,0.636002244
205,2021-06-29,0.352021152
206,2021-06-30,0.313467732
207,2021-07-01,0.447257398
208,2021-07-02,0.00065593
209,2021-07-05,0.526046052
210,2021-07-06,0.631176713
211,2021-07-07,0.336413147
212,2021-07-08,0.638145209
213,2021-07-09,0.00279793
214,2021-07-12,0.000649152
215,2021-07-13,7.95e-05
216,2021-07-14,0.002264041
217,2021-07-15,0.553628159
218,2021-07-16,0.392715786
219,2021-07-19,0.74203474
220,2021-07-20,0.410968794
221,2021-07-21,0.000108302
222,2021-07-22,0.666761903
223,2021-07-23,0.440235794
224,2021-07-26,0.50616931
225,2021-07-27,0.442699681
226,2021-07-28,0.441135703
227,2021-07-29,0.500527419
228,2021-07-30,0.60849872
229,2021-08-02,0.514192829
230,2021-08-03,0.456610965
231,2021-08-04,0.515156299
232,2021-08-05,0.565208583
233,2021-08-06,0.261503908
234,2021-08-07,1.0
235,2021-08-09,0.204169659
236,2021-08-10,0.508278993
237,2021-08-11,0.250184053
238,2021-08-12,0.56318381
239,2021-08-13,0.743987681
240,2021-08-14,1.0
241,2021-08-16,0.334066476
242,2021-08-17,0.314068569
243,2021-08-18,0.331416765
244,2021-08-20,0.230001379
245,2021-08-23,0.110708073
246,2021-08-24,0.746132709
247,2021-08-25,0.498631238
248,2021-08-26,0.163072141
249,2021-08-27,0.504674338
250,2021-08-30,0.665604367
251,2021-08-31,0.652968363
252,2021-09-01,0.598847514
253,2021-09-02,0.342777279
254,2021-09-03,0.427501
255,2021-09-06,0.493861747
256,2021-09-07,0.422406285
257,2021-09-08,0.163184495
258,2021-09-09,0.136789657
259,2021-09-13,0.351670423
260,2021-09-14,0.40085512
261,2021-09-15,0.348279716
262,2021-09-16,0.535319739
263,2021-09-17,0.206243133
264,2021-09-20,0.016181352
265,2021-09-21,0.436687113
266,2021-09-22,0.000119757
267,2021-09-23,0.515028453
268,2021-09-24,0.667177269
269,2021-09-28,0.994438887
270,2021-09-29,0.666723707
271,2021-09-30,0.000139859
272,2021-10-01,0.000912207
273,2021-10-04,0.002711339
274,2021-10-05,0.50004358
275,2021-10-06,0.000103131
276,2021-10-07,0.000477946
277,2021-10-08,0.00287065
278,2021-10-12,0.338315889
279,2021-10-13,0.500003031
280,2021-10-14,0.335047325
281,2021-10-18,0.666768754
282,2021-10-19,0.002610846
283,2021-10-20,0.000598049
284,2021-10-21,0.666304694
285,2021-10-22,0.016561773
286,2021-10-25,0.169519219
287,2021-10-26,0.500165195
288,2021-10-27,0.482015566
289,2021-10-28,0.002008116
290,2021-10-29,0.325174904
291,2021-10-30,1.0
292,2021-11-01,0.499186957
293,2021-11-02,0.499893169
294,2021-11-03,0.500833006
295,2021-11-04,0.319756898
296,2021-11-08,0.666704241
297,2021-11-09,0.666705236
298,2021-11-10,0.901942154
299,2021-11-11,0.497059119
300,2021-11-12,0.001155734
301,2021-11-13,1.0
302,2021-11-14,3.21e-06
303,2021-11-15,0.010223811
304,2021-11-16,0.000154551
305,2021-11-17,0.499601533
306,2021-11-18,3.98e-05
307,2021-11-22,0.000708882
308,2021-11-23,0.000410012
309,2021-11-24,0.00049814
310,2021-11-25,0.000994885
311,2021-11-26,0.378559005
312,2021-11-29,0.00121258
313,2021-11-30,0.357242862
314,2021-12-01,0.301758313
315,2021-12-02,0.000878593
316,2021-12-03,0.672917794
317,2021-12-06,0.494253682
318,2021-12-07,0.629994495
319,2021-12-08,0.654243096
320,2021-12-09,0.320035779
321,2021-12-10,0.421738803
322,2021-12-13,0.50012801
323,2021-12-14,0.046714171
324,2021-12-15,0.046282953
325,2021-12-16,0.73142671
326,2021-12-17,0.440211049
327,2021-12-18,0.000567058
328,2021-12-20,0.227460937
329,2021-12-21,0.467299773
330,2021-12-22,0.512075026
331,2021-12-23,0.500346336
332,2021-12-24,0.452296789
333,2021-12-27,0.589461029
334,2021-12-28,0.500845957
335,2021-12-29,0.032122549
336,2021-12-30,0.021467889
337,2021-12-31,0.370774475
338,2022-01-03,0.819706731
339,2022-01-04,0.499567625
340,2022-01-05,0.015450477
341,2022-01-06,0.600043856
342,2022-01-07,0.449333125
343,2022-01-10,0.470022138
344,2022-01-11,0.465646556
345,2022-01-12,0.501625145
346,2022-01-13,0.503607419
347,2022-01-14,0.334194541
348,2022-01-17,0.412530593
349,2022-01-18,0.145265693
350,2022-01-19,0.401073584
351,2022-01-20,0.033951504
352,2022-01-21,0.551246166
353,2022-01-24,0.252598332
354,2022-01-25,0.483714177
355,2022-01-26,0.424507984
356,2022-01-27,0.406470947
357,2022-01-28,0.514968202
358,2022-01-30,1.0
359,2022-01-31,0.799863352
360,2022-02-01,0.711270776
361,2022-02-02,0.667698113
362,2022-02-03,0.346880641
363,2022-02-04,0.378914022
364,2022-02-07,0.488713843
365,2022-02-08,0.385399778
366,2022-02-09,0.642775588
367,2022-02-10,0.575820049
368,2022-02-11,0.246510487
369,2022-02-12,1.0
370,2022-02-14,0.323401185
371,2022-02-15,0.656002893
372,2022-02-16,0.500937927
